pop_id,name,franchise_name,franchise_id,category_name,category_id,price,item_number,image_url,release_date
57,Finn (Zombie),Adventure Time,12,Mystery Vinyl Adventure Time,30,$6.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/1649_Finn-Zombie-.jpg,
58,Fionna,Adventure Time,12,Pop! Vinyl Pop! Television,1,$16.00,54,https://cdn.poppriceguide.com/guide/itmimg/thumb/1016_Fionna.jpg,
59,Gunter,Adventure Time,12,Pop! Vinyl Pop! Television,1,$21.00,87,https://cdn.poppriceguide.com/guide/itmimg/thumb/1070_Gunter.jpg,
60,The Ice King,Adventure Time,12,Mystery Vinyl Adventure Time,30,$6.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/1647_TheIceKing.jpg,
61,Jake (Zombie),Adventure Time,12,Mystery Vinyl Adventure Time,30,$6.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/1648_Jake-Zombie-.jpg,
62,Lumpy Space Princess,Adventure Time,12,Pop! Vinyl Pop! Television,1,$17.00,30,https://cdn.poppriceguide.com/guide/itmimg/thumb/979_Lumpy-Space-Princess.jpg,Released 2013
63,BMO (Blushing),Adventure Time,12,Pocket Pop! Adventure Time,32,$8.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6085_bmoblushing_1457718888.jpg,Released 2016
64,Adventure Time (3-Pack),Adventure Time,12,Pop! Vinyl Blister Packs,33,$8.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/7080_adventuretime3pack_1461716210.jpg,Released 2015
65,Adventure Time (Jake Finn & BMO),Adventure Time,12,Pop! Vinyl Tins,21,$7.00,9,https://cdn.poppriceguide.com/guide/itmimg/thumb/3817_adventuretimejakefinnbmo.jpg,Released 2015
66,Jake Car with Finn,Adventure Time,12,Pop! Vinyl Pop! Rides,27,$19.00,14,https://cdn.poppriceguide.com/guide/itmimg/thumb/5522_jakecarwithfinn.jpg,
67,Blushing BMO,Adventure Time,12,Pop! Vinyl Pop! Television,1,$13.00,321,https://cdn.poppriceguide.com/guide/itmimg/thumb/5958_blushingbmo_1454202570.jpg,Released 2016
68,BMO (Green) (Glow in the Dark),Adventure Time,12,Pop! Vinyl Pop! Television,1,$165.00,52,https://cdn.poppriceguide.com/guide/itmimg/thumb/6807_bmogreenglowinthedark_1458782451.jpg,Released 2016
69,BMO (Metallic),Adventure Time,12,Pop! Vinyl Pop! Television,1,$12.00,52,https://cdn.poppriceguide.com/guide/itmimg/thumb/1014_BMOMetallic.jpg,
70,BMO (White) (Glow in the Dark),Adventure Time,12,Pop! Vinyl Pop! Television,1,$55.00,52,https://cdn.poppriceguide.com/guide/itmimg/thumb/1013_BMOGlowintheDark.jpg,Released 2014
71,BMO Noire,Adventure Time,12,Pop! Vinyl Pop! Television,1,$12.00,283,https://cdn.poppriceguide.com/guide/itmimg/thumb/4977_bmonoire.jpg,Released 2015
72,Finn (with Sword) (Glow in the Dark),Adventure Time,12,Pop! Vinyl Pop! Television,1,$95.00,32,https://cdn.poppriceguide.com/guide/itmimg/thumb/983_Finn--with-Sword---Glow-in-the-Dark-.jpg,Released 2013
73,Fionna & Cake,Adventure Time,12,Pop! Vinyl Pop! Television,1,$75.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/1171_FionnaCake.jpg,
74,Ice King,Adventure Time,12,Pop! Vinyl Pop! Television,1,$19.00,34,https://cdn.poppriceguide.com/guide/itmimg/thumb/986_Ice-King.jpg,Released 2013
75,Jake (Flocked),Adventure Time,12,Pop! Vinyl Pop! Television,1,$37.00,33,https://cdn.poppriceguide.com/guide/itmimg/thumb/985_JakeFlocked.jpg,Released 2013
76,JMO (Jake as BMO),Adventure Time,12,Pop! Vinyl Pop! Television,1,$22.00,187,https://cdn.poppriceguide.com/guide/itmimg/thumb/1455_JMO.jpg,
77,Lemongrab,Adventure Time,12,Pop! Vinyl Pop! Television,1,$23.00,53,https://cdn.poppriceguide.com/guide/itmimg/thumb/1015_Lemongrab.jpg,
78,The Lich,Adventure Time,12,Pop! Vinyl Pop! Television,1,$10.00,303,https://cdn.poppriceguide.com/guide/itmimg/thumb/5521_thelich.jpg,Released 2016
79,The Lich (Green),Adventure Time,12,Pop! Vinyl Pop! Television,1,$140.00,303,https://cdn.poppriceguide.com/guide/itmimg/thumb/6804_thelich_1458782003.jpg,Released 2016
80,Marceline (Hat & Axe Guitar),Adventure Time,12,Pop! Vinyl Pop! Television,1,$14.00,301,https://cdn.poppriceguide.com/guide/itmimg/thumb/5359_marcelinehataxeguitar.jpg,Released 2015
81,Princess Bubblegum (Glow in the Dark),Adventure Time,12,Pop! Vinyl Pop! Television,1,$45.00,51,https://cdn.poppriceguide.com/guide/itmimg/thumb/1011_PrincessBubblegumGlowintheDark.jpg,Released 2014
82,Zombie Jake,Adventure Time,12,Pop! Vinyl Pop! Television,1,$75.00,44,https://cdn.poppriceguide.com/guide/itmimg/thumb/1003_Zombie-Jake.jpg,Released 2013
83,Abu,Aladdin,13,Dorbz Disney,34,$4.00,227,https://cdn.poppriceguide.com/guide/itmimg/thumb/8961_abu_1480909026.jpg,Released 2017
84,Genie,Disney,113,Mystery Vinyl Disney,37,$6.00,337,https://cdn.poppriceguide.com/guide/itmimg/thumb/10181_genie_1507574979.jpg,Released 2017
85,Genie (Red),Disney,113,Dorbz Disney,34,$22.00,337,https://cdn.poppriceguide.com/guide/itmimg/thumb/10150_geniered_1490931421.jpg,Released 2017
86,Jafar,Disney,113,Other Funko Lines Disney,70,N/D,339,https://cdn.poppriceguide.com/guide/itmimg/noimage.png,Released 2017
87,Jasmine,Disney,113,Pocket Pop! Disney,40,N/D,52,https://cdn.poppriceguide.com/guide/itmimg/thumb/11439_jasmine_1504165287.jpg,Released 2017
88,Rajah,Disney,113,Dorbz Disney,34,$9.00,338,https://cdn.poppriceguide.com/guide/itmimg/thumb/10151_rajah_1490931683.jpg,Released 2017
89,Aladdin & Abu w/ Magic Carpet,Aladdin,13,Dorbz Dorbz Ridez,35,$29.00,30,https://cdn.poppriceguide.com/guide/itmimg/thumb/10842_aladdinabuwmagiccarpet_1498092623.jpg,Released 2017
90,Iago,Disney,113,Mystery Minis Villains & Companions,2,$11.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/8513_iago_1476831016.jpg,Released 2016
91,Aladdin,Disney,113,Other POP! Items Disney,38,N/D,,https://cdn.poppriceguide.com/guide/itmimg/noimage.png,Released 2017
92,Genie (Metallic),Aladdin,13,Pop! Vinyl Pop! Disney,3,$630.00,54,https://cdn.poppriceguide.com/guide/itmimg/thumb/130_Genie--Metallic-.jpg,Released 2013
93,Jasmine (Dancing),Disney,113,Pop! Vinyl Pop! Disney,3,$10.00,326,https://cdn.poppriceguide.com/guide/itmimg/thumb/11436_jasminedancing_1504163302.jpg,
94,Jasmine (Glasses),Aladdin,13,Pop! Vinyl Pop! Disney,3,$9.00,68,https://cdn.poppriceguide.com/guide/itmimg/thumb/3710_jasmineglasses.jpg,Released 2015
95,Sydney Bristow (Blonde),Alias,14,Pop! Vinyl Pop! Television,1,$6.00,529,https://cdn.poppriceguide.com/guide/itmimg/thumb/10395_sydneybristowblonde_1493434310.jpg,Released 2017
96,Sydney Bristow (Goth),Alias,14,Pop! Vinyl Pop! Television,1,$7.00,530,https://cdn.poppriceguide.com/guide/itmimg/thumb/10396_sydneybristowgoth_1493434400.jpg,Released 2017
97,Sydney Bristow (Redhead),Alias,14,Pop! Vinyl Pop! Television,1,$8.00,532,https://cdn.poppriceguide.com/guide/itmimg/thumb/10398_sydneybristowredhead_1493434745.jpg,Released 2017
98,Sydney Bristow (School Girl),Alias,14,Pop! Vinyl Pop! Television,1,$7.00,531,https://cdn.poppriceguide.com/guide/itmimg/thumb/10397_sydneybristowschoolgirl_1493434541.jpg,Released 2017
99,Alice,Disney,113,Vinyl Disney,4,$10.00,40,https://cdn.poppriceguide.com/guide/itmimg/thumb/10776_alice_1497391292.jpeg,Released 2017
100,Alice (Black & White),Chase Pieces,82,Dorbz Disney,34,$19.00,40,https://cdn.poppriceguide.com/guide/itmimg/thumb/6364_aliceblackwhite_1459344860.JPG,Released 2016
101,Alice (Movie),Disney,113,Dorbz Disney,34,$6.00,115,https://cdn.poppriceguide.com/guide/itmimg/thumb/6110_alicemovie_1454442823.jpeg,Released 2016
102,Cheshire Cat,Disney,113,Mystery Vinyl Disney,37,N/D,117,https://cdn.poppriceguide.com/guide/itmimg/noimage.png,Released 2017
103,Cheshire Cat (Animated),Disney,113,Dorbz Disney,34,$10.00,316,https://cdn.poppriceguide.com/guide/itmimg/thumb/10771_cheshirecatanimated_1497317554.jpg,Released 2017
104,Cheshire Cat (Animated) (Fading),Disney,113,Dorbz Disney,34,$37.00,316,https://cdn.poppriceguide.com/guide/itmimg/thumb/10772_cheshirecatanimatedfading_1497317598.jpg,Released 2017
105,Cheshire Cat (Disappearing),Disney,113,Dorbz Disney,34,$15.00,117,https://cdn.poppriceguide.com/guide/itmimg/thumb/6114_cheshirecatdisappearingchase_1470321780.jpeg,Released 2016
106,Iracebeth,Disney,113,Dorbz Disney,34,$7.00,118,https://cdn.poppriceguide.com/guide/itmimg/thumb/6112_iracebeth_1454443092.jpeg,Released 2016
107,Mad Hatter,Freddy Funko,161,Pop! Vinyl Pop! Freddy Funko,22,$110.00,43,https://cdn.poppriceguide.com/guide/itmimg/thumb/7836_madhatter_1469448560.jpg,Released 2016
108,Mad Hatter (Movie),Disney,113,Dorbz Disney,34,$8.00,116,https://cdn.poppriceguide.com/guide/itmimg/thumb/6111_madhattermovie_1454442922.jpeg,Released 2016
109,Mad Hatter McTwisp Time & Mallymkun (4-Pack),Alice in Wonderland,15,Dorbz Disney,34,$24.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/7558_madhattermctwisptimemallymkun4pack_1466045814.jpg,Released 2016
110,Queen of Hearts,Disney,113,Dorbz Disney,34,$5.00,42,https://cdn.poppriceguide.com/guide/itmimg/thumb/5117_queenofhearts.jpg,Released 2016
111,Alice Kingsleigh (Blue Coat),Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$21.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/7028_alicekingsleighbluecoat_1461331045.png,Released 2016
112,Alice Kingsleigh (Dress),Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$9.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6244_alicekingsleighdress_1457644642.jpeg,Released 2016
113,Alice Kingsleigh (Miltary Uniform),Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$4.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6245_alicekingsleighmiltaryuniform_1457644678.jpeg,Released 2016
114,Bandersnatch,Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$5.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6242_bandersnatch_1457644825.jpeg,Released 2016
115,Chessur,Alice in Wonderland,15,Pop! Vinyl Pop! Disney,3,$9.00,183,https://cdn.poppriceguide.com/guide/itmimg/thumb/6684_chessur_1458163773.jpg,
116,Chessur (Young),Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$14.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6234_chessuryoung_1457644928.jpeg,Released 2016
117,Chessur (Young) (Disappearing),Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$10.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/7027_chessuryoungdisappearing_1461330700.png,Released 2016
118,Mad Hatter (Frown),Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$6.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6236_madhatterfrown_1457645133.jpeg,Released 2016
119,Mad Hatter (Smile),Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$46.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6237_madhattersmile_1457645195.jpeg,Released 2016
120,Mad Hatter (Smile) (Brown Hat),Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$70.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/7029_madhattersmilebrownhat_1461331259.png,Released 2016
121,Mallymkun,Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$13.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6231_mallymkun_1457645228.jpeg,Released 2016
122,McTwisp,Alice in Wonderland,15,Pop! Vinyl Pop! Disney,3,$10.00,182,https://cdn.poppriceguide.com/guide/itmimg/thumb/6685_mctwisp_1458163815.jpg,
123,Mirana,Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$9.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6232_mirana_1457645319.jpeg,Released 2016
124,Thackery Earwicket,Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$5.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6246_thackeryearwicket_1457645356.jpeg,Released 2016
125,Time,Alice in Wonderland,15,Pop! Vinyl Pop! Disney,3,$7.00,184,https://cdn.poppriceguide.com/guide/itmimg/thumb/6683_time_1458163724.jpg,
126,Tweedledee,Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$8.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6238_tweedledee_1457646209.jpeg,Released 2016
127,Tweedledum,Alice in Wonderland,15,Mystery Minis Alice Through the Looking Glass,41,$9.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6239_tweedledum_1457646295.jpeg,Released 2016
128,Vegetable Soldier,Disney,113,Mystery Minis Alice Through the Looking Glass,41,$18.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/6578_namenotknown_1457646592.jpeg,
129,Alice (Sitting),Alice in Wonderland,15,Mystery Minis SDCC,42,$17.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/1864_AliceSitting.jpg,Released 2014
130,Cheshire Cat (Arms Crossed),Alice in Wonderland,15,Mystery Minis SDCC,42,$14.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/1869_CheshireCatArmsCrossed.jpg,Released 2014
131,Cheshire Cat (Glow in the Dark),Alice in Wonderland,15,Mystery Minis SDCC,42,$25.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/1870_CheshireCatGlowintheDark.jpg,Released 2014
132,Cheshire Cat (Leaning Back),Alice in Wonderland,15,Mystery Minis SDCC,42,$10.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/1871_CheshireCatLeaningBack.jpg,Released 2014
133,Alice (Standing),Alice in Wonderland,15,Mystery Minis Series 2,43,$8.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/1842_Alice-Standing-.jpg,
134,Red Queen,Disney,113,Mystery Minis Villains & Companions,2,$10.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/7713_redqueen_1467386215.jpg,Released 2016
135,White Rabbit,Disney,113,Mystery Minis Villains & Companions,2,$6.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/7714_whiterabbit_1467385973.jpg,Released 2016
136,Alice in Wonderland Collection with Purple Cheshire Cat,Alice in Wonderland,15,Plush Disney,39,$45.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/2730_aliceinwonderlandcollectionwithpurplecheshirecat.jpg,
137,Cheshire Cat (Movie),Alice in Wonderland,15,Pop! Vinyl Pop! Disney,3,$8.00,178,https://cdn.poppriceguide.com/guide/itmimg/thumb/5632_cheshirecatmovie.jpg,Released 2016
138,Mad Hatter (Through the Looking Glass),Alice in Wonderland,15,Pop! Vinyl Pop! Disney,3,$7.00,181,https://cdn.poppriceguide.com/guide/itmimg/thumb/6686_madhatterthroughthelookingglass_1458163871.jpg,
139,Alice Kingsleigh,Alice in Wonderland,15,Pop! Vinyl Pop! Disney,3,$6.00,180,https://cdn.poppriceguide.com/guide/itmimg/thumb/6687_alicekingsleigh_1458163922.jpg,
140,Alice Kingsleigh Chessur & Time (3-Pack),Alice in Wonderland,15,Pop! Vinyl Pop! Disney,3,$38.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/7342_alicekingsleighchessurtime3pack_1464263465.jpg,Released 2016
141,Cheshire Cat (Blue),Alice in Wonderland,15,Pop! Vinyl Pop! Disney,3,$470.00,35,https://cdn.poppriceguide.com/guide/itmimg/thumb/106_Cheshire-Cat--Blue-.jpg,Released 2012
142,Cheshire Cat (Faded),Alice in Wonderland,15,Pop! Vinyl Pop! Disney,3,$25.00,35,https://cdn.poppriceguide.com/guide/itmimg/thumb/1391_Cheshire-Cat--Fading-.jpg,Released 2014
143,Cheshire Cat (Movie) (Flocked),Alice in Wonderland,15,Pop! Vinyl Pop! Disney,3,$14.00,178,https://cdn.poppriceguide.com/guide/itmimg/thumb/5718_cheshirecatmovieflocked_1460526738.jpg,Released 2016
